Politics
Northern leaders inaugurate committees on 2019 election, restructuring, others
32 women to contest in Kaduna LG poll
APC will restore Awolowo’s legacies in Ekiti, says Fayemi
Oyo State Assembly extends tenure of LG caretaker chairmen
INEC warns against hate speeches during political campaigns
APC wins all 18 chairmanship seats in Edo council poll
APC wins 7 councils in results declared by Edo Electoral Commission
INEC announces rotational continuous voter registration to capture more voters
Edo Electoral Commission deploys 8,000 ad-hoc staff in election
States pass 15 amendments, want power devolution in Constitution
